seed,cond,method,ece,brier,nll
6,img_subset,uncalibrated,0.34579356041921383,0.3891664346392858,1.5691296951936988
6,img_subset,static_temp,0.201447688945334,0.2992814634288107,0.82865561417866
6,img_subset,transcal,0.0961406931052437,0.25978701862249337,0.7133300071314714
6,img_subset,mora_global,0.17595549122601073,0.27640954408410473,0.7529699081410898
6,img_subset,mora_permod,0.1680839529415949,0.2753098499384264,0.7499647166118796
6,clin_subset,uncalibrated,0.1821736967031297,0.2758899550323174,0.7941904558972565
6,clin_subset,static_temp,0.07688261255629376,0.24006471694886344,0.6712763627203776
6,clin_subset,transcal,0.0847289512297791,0.24328846831414097,0.6795252701441326
6,clin_subset,mora_global,0.08169559725584041,0.23979193928897452,0.6718222006624762
6,clin_subset,mora_permod,0.07993585290488837,0.24001973487255418,0.6724152516365
7,clean,uncalibrated,0.24026612713970052,0.2974524184341923,0.8090302008603616
7,clean,static_temp,0.09556341632875509,0.24955488288783612,0.692251634020165
7,clean,transcal,0.09556341548074644,0.24955488285252395,0.6922516339472334
7,clean,mora_global,0.12267957234133918,0.25201960565159215,0.696924129871734
7,clean,mora_permod,0.12179394837529169,0.25209427839863996,0.6970928928184512
7,img_subset,uncalibrated,0.2995113507692961,0.33028432610026986,1.2103693583099508
7,img_subset,static_temp,0.13179215069386935,0.24862043482941096,0.6904031349356922
7,img_subset,transcal,0.1317921517212866,0.24862043484635277,0.6904031349836368
7,img_subset,mora_global,0.17786549546546596,0.2599989295200394,0.7207263055248034
7,img_subset,mora_permod,0.1552080296018405,0.26004702441220484,0.7214232363049423
7,clin_subset,uncalibrated,0.29604358414704574,0.31680089638841913,0.8810825773932265
7,clin_subset,static_temp,0.0902817478476939,0.25011985195072156,0.693383946477652
7,clin_subset,transcal,0.09028174710112875,0.25011985201344017,0.6933839466019398
7,clin_subset,mora_global,0.15142997897794236,0.25494424443166136,0.7030463705735548
7,clin_subset,mora_permod,0.14304508519009043,0.25445988564942534,0.7020125426493666
8,clean,uncalibrated,0.17131234866610123,0.2694958207916171,0.7586630029088723
8,clean,static_temp,0.09914114667526054,0.24719884706331682,0.687521522570765
8,clean,transcal,0.09647929301670873,0.2443141649709232,0.681450409509148
8,clean,mora_global,0.08941758233244666,0.24383045996220393,0.6805043989001271
8,clean,mora_permod,0.08724342023773102,0.24387669063350048,0.6806203061463346
8,img_subset,uncalibrated,0.28426990480130165,0.3378042594603493,1.3317265818499178
8,img_subset,static_temp,0.10272770452927014,0.24988728042994887,0.6929257660957341
8,img_subset,transcal,0.1293037508842016,0.26110829624126397,0.7203757355924514
8,img_subset,mora_global,0.13084304119915074,0.25928558364001425,0.715561446466077
8,img_subset,mora_permod,0.12739605605833287,0.25902497188378204,0.714922923915492
8,clin_subset,uncalibrated,0.24517606005455048,0.2913297524383938,0.8381948335182853
8,clin_subset,static_temp,0.09913712340145601,0.24771627171711152,0.6885498456281903
8,clin_subset,transcal,0.09826712588605942,0.24679473304721494,0.686443941784904
8,clin_subset,mora_global,0.09962259671069311,0.24665555776295708,0.6862131526184564
8,clin_subset,mora_permod,0.10450437271013788,0.24687100352379107,0.6867033237906848
9,clean,uncalibrated,0.1638851720507051,0.26621185608935444,0.7601537298020946
9,clean,static_temp,0.08062721195091864,0.2463342864195632,0.6857558244980657
9,clean,transcal,0.08710405004067401,0.24773784332422932,0.6886107766565196
9,clean,mora_global,0.07213418718227003,0.24385345394462798,0.6805391185362906
9,clean,mora_permod,0.07145425162370865,0.24450398772182602,0.6821171948764255
9,img_subset,uncalibrated,0.3169501046478269,0.35835456217956735,1.3667116651514297
9,img_subset,static_temp,0.10758276794608812,0.2549808805032522,0.7041754315740701
9,img_subset,transcal,0.09795606705984126,0.2517530053384603,0.6968087636606066
9,img_subset,mora_global,0.15702543646576678,0.2747803139782692,0.7650149480416053
9,img_subset,mora_permod,0.15195005970070305,0.274790901428083,0.7646907444787888
9,clin_subset,uncalibrated,0.17170261795139274,0.27457993232182604,0.790318245304081
9,clin_subset,static_temp,0.08151390523410341,0.2460360381980431,0.685160460169156
9,clin_subset,transcal,0.08759434946992412,0.24752282719756855,0.6881807623717504
9,clin_subset,mora_global,0.07319544363435482,0.24390654204036133,0.6806906051225341
9,clin_subset,mora_permod,0.0815432676626197,0.2455785544159119,0.6845753991507755
10,clean,uncalibrated,0.17293114773956023,0.2697706419375028,0.7855517252018211
10,clean,static_temp,0.0919088201979536,0.2463162213934212,0.685773394701617
10,clean,transcal,0.09800993429652044,0.2440676634377839,0.6835117408711008
10,clean,mora_global,0.09814807381640084,0.24235905318045847,0.6778155809465987
10,clean,mora_permod,0.08646602204570564,0.24223605828616424,0.677540844035725
10,img_subset,uncalibrated,0.2890035198688027,0.36187492022094847,1.6518375633387703
10,img_subset,static_temp,0.1427338051863992,0.2570702777887652,0.7079247388519447
10,img_subset,transcal,0.23843061609114866,0.31605895783457133,0.9668878359657318
10,img_subset,mora_global,0.1571379633683766,0.2735481743951007,0.7510151623637085
10,img_subset,mora_permod,0.15663969213651383,0.2729946997950218,0.7492802662282829
10,clin_subset,uncalibrated,0.20929784846844735,0.2886358153249493,0.8567549059021282
10,clin_subset,static_temp,0.096633385590352,0.2473790301155253,0.6878889311852342
10,clin_subset,transcal,0.11380239345450245,0.25370124746983763,0.7058837146443858
10,clin_subset,mora_global,0.0981227634220482,0.24571327322344366,0.6845220604593388
10,clin_subset,mora_permod,0.09678178876426775,0.24578067906089215,0.6846782454655855
