seed,cond,auroc,err_rate,aurc_conf,aurc_permod,aurc_global,aurc_random,sr_conf@0.6,sr_permod@0.6,sr_global@0.6,sr_conf@0.7,sr_permod@0.7,sr_global@0.7,sr_conf@0.8,sr_permod@0.8,sr_global@0.8,sr_conf@0.9,sr_permod@0.9,sr_global@0.9,deferred_shift_recall,attribution_acc
6,clin_subset,0.5466176470588235,0.4642857142857143,0.4026432554626822,0.43040619522198686,0.41272483256769477,0.4818023431172359,0.38613861386138615,0.44554455445544555,0.42574257425742573,0.4067796610169492,0.4576271186440678,0.4322033898305085,0.41044776119402987,0.4626865671641791,0.44776119402985076,0.4503311258278146,0.4503311258278146,0.46357615894039733,0.98,1.0
7,clean,0.586764705882353,0.49404761904761907,0.43218636974704744,0.43612758957017517,0.44794430888768355,0.45038335785518785,0.48514851485148514,0.49504950495049505,0.5346534653465347,0.5169491525423728,0.4745762711864407,0.5084745762711864,0.47761194029850745,0.47761194029850745,0.4925373134328358,0.4768211920529801,0.4900662251655629,0.4900662251655629,,
7,img_subset,0.5167647058823529,0.5059523809523809,0.5048225534772163,0.4473178509433064,0.4525717938394544,0.5336085907150443,0.46534653465346537,0.45544554455445546,0.45544554455445546,0.5084745762711864,0.4745762711864407,0.4745762711864407,0.5223880597014925,0.47761194029850745,0.48507462686567165,0.5033112582781457,0.48344370860927155,0.48344370860927155,1.0,1.0
7,clin_subset,0.5645588235294119,0.47619047619047616,0.41406321095026766,0.42948770300653444,0.4351581969268507,0.5081911742908549,0.45544554455445546,0.46534653465346537,0.46534653465346537,0.4322033898305085,0.4576271186440678,0.4745762711864407,0.4626865671641791,0.4701492537313433,0.47761194029850745,0.47019867549668876,0.48344370860927155,0.48344370860927155,1.0,1.0
8,clean,0.5689705882352941,0.4880952380952381,0.3859183537102164,0.38327011373234604,0.38625292463617955,0.5264928756657602,0.43564356435643564,0.44554455445544555,0.42574257425742573,0.4491525423728814,0.4491525423728814,0.4491525423728814,0.47761194029850745,0.4626865671641791,0.47761194029850745,0.4768211920529801,0.4768211920529801,0.47019867549668876,,
8,img_subset,0.65,0.43452380952380953,0.3372710222200279,0.4188506633009454,0.42282941970148,0.4658483899341924,0.3564356435643564,0.44554455445544555,0.44554455445544555,0.3559322033898305,0.4491525423728814,0.4491525423728814,0.3880597014925373,0.4253731343283582,0.43283582089552236,0.423841059602649,0.44370860927152317,0.44370860927152317,1.0,1.0
8,clin_subset,0.6060294117647058,0.4583333333333333,0.33426113920011535,0.46846048789145556,0.4532154995244147,0.41338005385566007,0.39603960396039606,0.5346534653465347,0.49504950495049505,0.3983050847457627,0.5084745762711864,0.4745762711864407,0.43283582089552236,0.4925373134328358,0.48507462686567165,0.4304635761589404,0.4768211920529801,0.48344370860927155,1.0,1.0
9,clean,0.6385294117647059,0.36904761904761907,0.2958884303387866,0.2971811741865021,0.34744316623573707,0.3688494139337192,0.297029702970297,0.31683168316831684,0.32673267326732675,0.3220338983050847,0.3474576271186441,0.3474576271186441,0.3208955223880597,0.34328358208955223,0.3358208955223881,0.3509933774834437,0.36423841059602646,0.3708609271523179,,
9,img_subset,0.5017647058823529,0.42857142857142855,0.5270128538490307,0.32005272630881487,0.32552155169615204,0.46496132059571427,0.4752475247524752,0.3465346534653465,0.3564356435643564,0.4491525423728814,0.3644067796610169,0.3644067796610169,0.4253731343283582,0.3880597014925373,0.3880597014925373,0.423841059602649,0.41721854304635764,0.41721854304635764,1.0,1.0
9,clin_subset,0.6214705882352941,0.39880952380952384,0.3173013953435787,0.36708672297126743,0.3754955815916883,0.42845813220413914,0.31683168316831684,0.40594059405940597,0.39603960396039606,0.3474576271186441,0.3983050847457627,0.4152542372881356,0.3582089552238806,0.41044776119402987,0.40298507462686567,0.37748344370860926,0.40397350993377484,0.3973509933774834,1.0,0.98
10,clean,0.5782352941176471,0.42857142857142855,0.37377044983081803,0.3861657176451554,0.40419731743653176,0.44079082593163,0.40594059405940597,0.36633663366336633,0.39603960396039606,0.4067796610169492,0.3728813559322034,0.3898305084745763,0.3880597014925373,0.40298507462686567,0.40298507462686567,0.4105960264900662,0.41721854304635764,0.40397350993377484,,
10,img_subset,0.501029411764706,0.5,0.485417492569696,0.4280631370565858,0.4380880081448278,0.4775855164122567,0.48514851485148514,0.42574257425742573,0.42574257425742573,0.4915254237288136,0.4576271186440678,0.4576271186440678,0.4925373134328358,0.4626865671641791,0.4626865671641791,0.4900662251655629,0.4900662251655629,0.4900662251655629,1.0,1.0
10,clin_subset,0.5608823529411765,0.44047619047619047,0.37668604533432104,0.38611933226775624,0.3854299575198834,0.4739876523981858,0.42574257425742573,0.4158415841584158,0.40594059405940597,0.423728813559322,0.4152542372881356,0.3983050847457627,0.41044776119402987,0.4253731343283582,0.4253731343283582,0.41721854304635764,0.4304635761589404,0.4370860927152318,1.0,1.0
11,clean,0.5632352941176471,0.4226190476190476,0.37667367055739087,0.35447765794900554,0.36843571132300307,0.4014006149042427,0.39603960396039606,0.3465346534653465,0.3465346534653465,0.3813559322033898,0.3813559322033898,0.3898305084745763,0.41044776119402987,0.3880597014925373,0.41044776119402987,0.41721854304635764,0.41721854304635764,0.423841059602649,,
11,img_subset,0.5270588235294118,0.47023809523809523,0.4305039952617037,0.41481020540376623,0.42115537881770476,0.46604063245265825,0.44554455445544555,0.44554455445544555,0.45544554455445546,0.4576271186440678,0.4745762711864407,0.4745762711864407,0.44776119402985076,0.48507462686567165,0.48507462686567165,0.46357615894039733,0.48344370860927155,0.48344370860927155,1.0,1.0
