seed,cond,method,auroc,brier,n_eval
10,clin_subset,permod,0.5623456790123458,0.2607514226956446,81
11,clean,static,0.5597058823529413,0.24066464769188384,168
11,clean,global,0.5785294117647058,0.2376522609124006,168
11,clean,permod,0.5926470588235294,0.23730230404446792,168
11,img_subset,static,0.5037735849056604,0.2764843043726448,93
11,img_subset,global,0.5,0.24588327920379485,93
11,img_subset,permod,0.49905660377358496,0.24634369628672456,93
11,clin_subset,static,0.5414965986394558,0.24274444252550828,79
11,clin_subset,global,0.5414965986394558,0.23608310522991485,79
11,clin_subset,permod,0.572108843537415,0.2551117314666126,79
12,clean,static,0.5195588235294117,0.24143551602222071,168
12,clean,global,0.5179411764705882,0.24048445909975083,168
12,clean,permod,0.4885294117647059,0.2439460932250523,168
12,img_subset,static,0.5243516761543328,0.27123506782395385,82
12,img_subset,global,0.5,0.23572041636195476,82
12,img_subset,permod,0.41334598355471225,0.24870334201432637,82
12,clin_subset,static,0.5123076923076922,0.2516760910871262,89
12,clin_subset,global,0.48923076923076925,0.24868049878513604,89
12,clin_subset,permod,0.5317948717948717,0.2500582241508102,89
13,clean,static,0.5616176470588236,0.23978835617804928,168
13,clean,global,0.5338235294117648,0.2407340129557128,168
13,clean,permod,0.5423529411764706,0.24203321308599904,168
13,img_subset,static,0.4905775075987842,0.27999980493641763,82
13,img_subset,global,0.5,0.24524330043541706,82
13,img_subset,permod,0.38875379939209725,0.2611347473809815,82
13,clin_subset,static,0.577962577962578,0.24009038203454963,89
13,clin_subset,global,0.551975051975052,0.24290051269676027,89
13,clin_subset,permod,0.5446985446985447,0.2563952569780301,89
14,clean,static,0.5195588235294119,0.25119437878319884,168
14,clean,global,0.49470588235294116,0.24456721572673507,168
14,clean,permod,0.5219117647058824,0.25185264107035654,168
14,img_subset,static,0.5805109922756981,0.25970777844136295,84
14,img_subset,global,0.5,0.23861129188425584,84
14,img_subset,permod,0.4477124183006536,0.2548876395537375,84
14,clin_subset,static,0.5990675990675991,0.23546545143230693,85
14,clin_subset,global,0.5262237762237763,0.2389698301062278,85
14,clin_subset,permod,0.5728438228438228,0.2487430528228178,85
15,clean,static,0.5804411764705883,0.23593382757055706,168
15,clean,global,0.5651470588235293,0.2375955864825939,168
15,clean,permod,0.5647058823529412,0.23846045115379727,168
15,img_subset,static,0.378397212543554,0.3257148284465646,76
15,img_subset,global,0.5,0.2518216085124798,76
15,img_subset,permod,0.4250871080139373,0.2585537523555735,76
15,clin_subset,static,0.5586049170954832,0.23684894514649177,86
15,clin_subset,global,0.5082904516866781,0.23677071114437717,86
15,clin_subset,permod,0.5946255002858776,0.24257137703911,86
16,clean,static,0.5202941176470588,0.25026359397101056,168
16,clean,global,0.5208823529411765,0.24276498646893,168
16,clean,permod,0.5420588235294117,0.24545518681126335,168
16,img_subset,static,0.5964912280701755,0.25430007100741636,94
16,img_subset,global,0.5,0.2387596346832725,94
16,img_subset,permod,0.49881460407776196,0.2430322016743502,94
16,clin_subset,static,0.4994089834515366,0.2638197016010582,83
16,clin_subset,global,0.5177304964539007,0.24673836138724828,83
16,clin_subset,permod,0.5076832151300237,0.29253573656992676,83
17,clean,static,0.5797058823529411,0.2373782978745134,168
17,clean,global,0.5438235294117647,0.24075600108304465,168
17,clean,permod,0.5505882352941176,0.24208124462168792,168
17,img_subset,static,0.5226899945325314,0.2746813805138002,90
17,img_subset,global,0.5,0.2291602073335697,90
17,img_subset,permod,0.4488791689447786,0.24340706420961722,90
17,clin_subset,static,0.669047619047619,0.221924592167118,72
17,clin_subset,global,0.7023809523809524,0.24047544318305622,72
17,clin_subset,permod,0.7142857142857143,0.21128015841943437,72
