arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
fusion,concat,isotonic,1,0.4984210526315789,0.5922954097402315,0.25179609521274504,0.6987844561541989,0.12543889799122537,0.5,-0.47344609655295633,0.542138464864169,0.18421052631578946,0.76,0.5384615384615384,0.38,0.27450980392156865,-0.04764044943820234,0.5903939008712769
fusion,concat,uncalibrated,2,0.5051975051975053,0.6242952864801115,0.24347880334368663,0.6799180566333033,0.04102182246389843,0.06298589706420898,0.3551758374712006,0.2173827711780282,0.7027027027027027,0.38461538461538464,0.6190476190476191,0.47619047619047616,0.6582278481012658,0.08988764044943809,0.5588330030441284
fusion,concat,temperature,2,0.5051975051975053,0.6242952864801115,0.2439734516208956,0.6809928270717595,0.044642028688258596,0.07869067976050736,0.3281794092104553,0.21735039344305154,0.7297297297297297,0.34615384615384615,0.6136363636363636,0.47368421052631576,0.6666666666666666,0.07904710341093657,0.5588330030441284
fusion,concat,platt,2,0.5051975051975053,0.6242952864801115,0.24393534969603262,0.680915893905521,0.04419798388433962,0.07783468501579949,0.33109616565482586,0.21574104850093065,0.7297297297297297,0.34615384615384615,0.6136363636363636,0.47368421052631576,0.6666666666666666,0.07904710341093657,0.5588330030441284
fusion,concat,isotonic,2,0.49792099792099787,0.5834532564318003,0.2633735183963413,0.7317121176305134,0.15666751894916547,0.9103704643267154,0.06967608756296512,0.32411868782697323,0.7027027027027027,0.38461538461538464,0.6190476190476191,0.47619047619047616,0.6582278481012658,0.08988764044943809,0.5588330030441284
fusion,concat,uncalibrated,3,0.529106029106029,0.5953225000981559,0.2482396347469797,0.6931356083321915,0.04203973403052675,0.8093169331550598,-0.14833583538999998,0.42606047055667695,0.918918918918919,0.07692307692307693,0.5862068965517241,0.4,0.7157894736842105,-0.004725339633786074,0.5345718860626221
fusion,concat,temperature,3,0.529106029106029,0.5953225000981559,0.24713643560228907,0.6898863261421813,0.02232773585049146,0.16160096207769992,-0.16398732495046106,0.4260417549777633,0.918918918918919,0.07692307692307693,0.5862068965517241,0.4,0.7157894736842105,-0.004725339633786074,0.5345718860626221
fusion,concat,platt,3,0.529106029106029,0.5953225000981559,0.24547485864124424,0.6852558654004147,0.0571913587961023,0.46525271304931914,-0.23569826987136716,0.4624734617522076,1.0,0.0,0.5873015873015873,,0.74,0.0,0.5345718860626221
fusion,concat,isotonic,3,0.49584199584199584,0.5853843991775026,0.2821101748210253,1.4254693662635538,0.13078221972434814,0.9443763733259971,-0.006021547658147012,0.36576641815420474,0.918918918918919,0.07692307692307693,0.5862068965517241,0.4,0.7157894736842105,-0.004725339633786074,0.5345718860626221
fusion,concat,uncalibrated,4,0.422037422037422,0.6032185696723562,0.2500543940258718,0.6934558838894734,0.1053577661514282,0.28721797466278076,-0.910492938435853,0.7193972785179841,0.5945945945945946,0.34615384615384615,0.5641025641025641,0.375,0.5789473684210527,-0.05993690851735023,0.5725370645523071
fusion,concat,temperature,4,0.422037422037422,0.6032185696723562,0.2532951741288385,0.7005977835760702,0.10172219088017656,0.15527551487364577,-0.7357799713332605,0.7192624416794107,0.6216216216216216,0.15384615384615385,0.5111111111111111,0.2222222222222222,0.5609756097560976,-0.23529411764705865,0.5725370645523071
fusion,concat,platt,4,0.422037422037422,0.6032185696723562,0.2586412421100039,0.7116017362457502,0.10326430395132366,0.5173533104053637,-0.5315080920921071,0.5984357738811084,0.5945945945945946,0.34615384615384615,0.5641025641025641,0.375,0.5789473684210527,-0.05993690851735023,0.5725370645523071
fusion,concat,isotonic,4,0.3903326403326403,0.5541033351962633,0.2904564740995044,0.9981299391924493,0.1984414498087882,0.8,0.02614899804903692,0.3203051590469052,0.6216216216216216,0.15384615384615385,0.5111111111111111,0.2222222222222222,0.5609756097560976,-0.23529411764705865,0.5725370645523071
